participant_id,best_nll,best_initial_guess,best_parameters,best_EV,AIC,BIC
200,137.28849870335216,"[0.11407297483792318, 0.4215289424933165]",[1.000e-04 9.999e-01],[1.00020001e-06 1.00050011e-14 5.00000000e+01 5.00050000e-03],278.5769974067043,283.7672371069735
201,74.88913754708246,"[0.456142810985039, 0.545508465407433]",[0.02621225 0.55563079],[-8.12795697e-01  3.43050148e+01  4.79119000e-03 -1.99997633e+02],153.7782750941649,158.9685147944341
202,135.39700415690695,"[0.3791393421060806, 0.8150913747630808]",[0.00156207 0.22348345],[-89.69199502 -13.58132728  25.01594917  66.42328759],274.7940083138139,279.98424801408305
203,126.11060126291804,"[2.2493466593557363, 0.4545750037048647]",[0.01009078 0.9999    ],[-2.00110024e-22  1.00000000e+02 -2.50425340e-67  4.99849965e-03],256.2212025258361,261.41144222610524
204,135.6871416278199,"[1.756459893383115, 0.3985737170117375]",[0.00077709 0.06372003],[-88.70516463 392.03789491 110.98196369   6.13886924],275.3742832556398,280.56452295590896
205,103.15156333810285,"[2.2493466593557363, 0.4545750037048647]",[0.00341805 0.02527748],[-248.62130901 -143.58554588  396.6285888   452.0550875 ],210.3031266762057,215.49336637647488
206,79.97209503101509,"[0.5920347100697148, 0.5700630143035996]",[0.02820408 0.9999    ],[-2.50325195e-050  1.00070023e-022 -2.51102358e-179  5.00050010e+001],163.94419006203017,169.13442976229936
207,133.8026909097839,"[0.11407297483792318, 0.4215289424933165]",[0.00205505 0.21243158],[  -6.13163895 -366.96694204   27.33508874 -115.44066011],271.6053818195678,276.79562151983697
208,81.8172577074575,"[0.179760474248153, 0.30798747765153145]",[0.01873558 0.6123734 ],[-2.11237508e+02 -1.63284634e+02  6.66693391e-16  1.49729004e-03],167.634515414915,172.8247551151842
209,137.20098122832613,"[1.1810780348593162, 0.1500538366753839]",[2.62177778e-04 8.15204893e-01],[-1.49883385e+02 -3.86405510e+01 -4.61981338e+00  1.11430849e-02],278.40196245665226,283.5922021569214
210,113.4138655628782,"[0.9141085865459524, 0.6450891015498769]",[0.0031971  0.04488139],[-78.7133453  -20.50843317  18.50988783 219.52923677],230.8277311257564,236.0179708260256
211,108.90370617669065,"[1.1810780348593162, 0.1500538366753839]",[0.00446257 0.05785096],[ -126.4510275  -1203.69263024   166.73612776    71.46338391],221.8074123533813,226.99765205365048
212,135.07657153261138,"[3.237587239917281, 0.07216148733704852]",[0.00280677 0.6527138 ],[-4.24558973e-04  1.16906461e+02  1.73643086e+01  7.39609247e-01],274.15314306522276,279.3433827654919
213,136.90528319840647,"[0.9141085865459524, 0.6450891015498769]",[0.00013294 0.0001    ],[-299.28603541 -743.28433948  646.48292322  945.131626  ],277.81056639681293,283.0008060970821
214,137.19080619544505,"[0.07436333540484792, 0.045517733021870524]",[3.75024678e-04 9.99900000e-01],[-2.00140042e-26  1.00020001e-06 -2.50150038e-23  5.00050005e+01],278.3816123908901,283.57185209115926
215,119.87076005709302,"[1.1810780348593162, 0.1500538366753839]",[0.00717963 0.24289215],[-79.34218798 -30.19100245   6.96697051  75.31329191],243.74152011418605,248.93175981445523
216,137.25491985516825,"[0.179760474248153, 0.30798747765153145]",[1.00000000e-04 9.24067901e-01],[-6.29612597e-02  1.46961533e-08  2.87966044e+01  2.88284105e-01],278.5098397103365,283.70007941060567
217,132.19594006734536,"[2.5924365832082357, 0.1858764731069715]",[0.00259294 0.15592807],[   4.73200574   60.46119649  108.81385994 -140.4589099 ],268.3918801346907,273.5821198349599
218,137.28866458501588,"[0.11407297483792318, 0.4215289424933165]",[1.000e-04 9.999e-01],[-1.00115062e-38  1.00010002e+02 -2.50075002e-15  5.00150015e-11],278.57732917003176,283.7675688703009
219,109.91203457399739,"[0.07436333540484792, 0.045517733021870524]",[0.0109821  0.49071707],[-4.36215982e+00  1.50499310e+02  3.53796943e-22  2.46381786e+01],223.82406914799478,229.01430884826397
220,134.14052319544268,"[1.4547830656247551, 0.7534195524767964]",[0.0025794 0.4076898],[-19.3345908  120.44702112  40.74803732  -4.7323578 ],272.28104639088536,277.4712860911545
221,113.80159388823421,"[0.3019258066257375, 0.08772350782364588]",[0.01380784 0.99539979],[1.00000000e+002 4.62145680e-001 5.40451271e-179 4.73836701e-013],231.60318777646842,236.7934274767376
223,87.36830944218934,"[1.209280733879705, 0.4574097141468662]",[0.01726616 0.43947413],[-2.81041010e+01 -3.21372734e+02 -2.33865417e-04  4.99758561e+01],178.7366188843787,183.92685858464787
224,136.43511486346284,"[0.5217064775886462, 0.2758093568505297]",[0.00067503 0.0867085 ],[ 41.91578107 117.29388706  27.40410165 112.7247254 ],276.8702297269257,282.06046942719485
225,135.37802439470022,"[3.407452766179434, 0.9591253618662718]",[0.00184988 0.39883063],[-2.92266488e-02  2.33486924e+02  3.50051123e-03  3.92797305e+00],274.75604878940044,279.9462884896696
226,136.75984532493518,"[0.456142810985039, 0.545508465407433]",[0.00016639 0.0001    ],[ -498.97676392 -1246.50391544   770.61559307   794.50006022],277.51969064987037,282.70993035013953
227,115.42857754009742,"[0.5920347100697148, 0.5700630143035996]",[0.00903146 0.28979289],[-2.85732926e+01  7.10257879e+01  4.27004724e-04  4.06747858e+01],234.85715508019484,240.04739478046403
228,136.9590610192843,"[2.2680557109214448, 0.39512869630341113]",[0.00079927 0.77399423],[ 5.96643164e+01  1.15265977e-20 -4.80557545e-24  6.34635444e-23],277.9181220385686,283.10836173883774
229,136.5053331021593,"[0.32100997611574, 0.26266425857080095]",[0.00131128 0.75288502],[2.68476041e-13 1.31670417e+02 8.21002813e-15 5.61982411e-05],277.0106662043186,282.2009059045878
230,136.04175071902998,"[0.3019258066257375, 0.08772350782364588]",[0.00115003 0.27795802],[-1.24454955e-01  2.38917797e+02  5.00917220e+01 -1.47236531e+01],276.08350143805995,281.2737411383291
231,137.12020450647057,"[0.9373205787531429, 0.8582853132361954]",[0.00039651 0.3270034 ],[ -0.87587744 295.73676224   0.85507243   2.47432526],278.24040901294114,283.4306487132103
232,78.47072116784994,"[0.5650930789468405, 0.5859248646983644]",[0.00248854 0.0001    ],[ -596.04208972 -1043.94932988  1495.00649955   247.87895857],160.9414423356999,166.13168203596908
233,136.90649552866316,"[0.3019258066257375, 0.08772350782364588]",[8.33148421e-04 9.99900000e-01],[-1.50140057e-38  1.00010001e+02  5.00650400e-47  5.00150020e-07],277.8129910573263,283.0032307575955
234,133.3058657727045,"[1.963627079645324, 0.17462554951464707]",[0.00059153 0.00545386],[ -509.16415509 -1397.450074     730.06982773   714.34222095],270.611731545409,275.80197124567815
235,137.04117050658041,"[0.2762789090333448, 0.07931500433178079]",[0.00010172 0.0001    ],[ -896.74607305 -1693.55130506   546.77419213   695.93019019],278.08234101316083,283.27258071343
236,137.36762522571004,"[1.415225555362504, 0.8878418666155204]",[1.0000000e-04 3.3646833e-01],[3.20805429e-01 5.25945314e+01 1.95915589e-02 4.43435635e-02],278.7352504514201,283.92549015168925
237,137.5342735791348,"[0.11407297483792318, 0.4215289424933165]",[1.000e-04 9.999e-01],[1.00030003e-10 1.00000000e+02 5.00050000e-03 5.00100005e-07],279.0685471582696,284.25878685853877
238,137.44909314364725,"[0.11407297483792318, 0.4215289424933165]",[1.000e-04 9.999e-01],[ 1.00450991e-178  1.00160122e-058  5.00125008e-011 -1.99995000e+002],278.8981862872945,284.08842598756365
239,133.30871162717676,"[0.179760474248153, 0.30798747765153145]",[0.00288865 0.34914344],[ 42.34859817 126.59940661   0.16591739  56.43484262],270.6174232543535,275.8076629546227
240,129.95594481478852,"[2.80951423754948, 0.28797331715620783]",[0.00151093 0.03675132],[-14.95529634  25.90741433 176.70681252  94.891318  ],263.91188962957705,269.1021293298462
241,110.35598746840478,"[0.5217064775886462, 0.2758093568505297]",[0.00264411 0.02437799],[-102.8746261  -773.54106043  673.21492827   55.96085755],224.71197493680955,229.90221463707874
242,137.34319859382308,"[0.11407297483792318, 0.4215289424933165]",[1.000e-04 9.999e-01],[ 1.00000000e+02  1.00020001e-06 -2.50025000e-03  5.00150015e-11],278.68639718764615,283.8766368879153
243,127.65639454956603,"[1.756459893383115, 0.3985737170117375]",[0.00508378 0.28946959],[  -0.9909253  -280.05043763  119.82322967   -8.04667091],259.31278909913203,264.50302879940125
244,135.31807349184916,"[2.2680557109214448, 0.39512869630341113]",[0.00034888 0.00043574],[ -592.2052903  -1030.4471236    758.75745304   776.82396088],274.6361469836983,279.8263866839675
245,136.4617388307889,"[3.2953231353332675, 0.68118559381146]",[0.00106666 0.95651178],[1.63660925e-20 1.04542071e+02 1.21941245e-76 3.55867332e-22],276.9234776615778,282.11371736184697
246,135.33443981887044,"[1.4547830656247551, 0.7534195524767964]",[0.00294758 0.86433781],[-1.69362007e-02  1.54118608e+01  6.24189417e-02  5.00000423e+01],274.6688796377409,279.85911933801003
