participant_id,best_nll,best_initial_guess,best_parameters,AIC,BIC
1,134.31022154126936,"[1.3641325554228854, 0.7883004850522469]",[0.06111193 0.97001737],272.6204430825387,277.8307834545149
2,120.25592565355416,"[0.33134491460084226, 0.8533767277431227]",[0.02970297 0.8359533 ],244.51185130710832,249.7221916790845
3,138.6294605630211,"[3.2085272678968666, 0.824945845710487]",[1.000e-04 9.999e-01],281.2589211260422,286.4692614980184
4,138.4153300916628,"[0.014936186805497471, 0.838456173749676]",[0.00033754 0.23742366],280.8306601833256,286.0410005553018
5,138.31752676475892,"[0.8317159225976175, 0.08442238651758188]",[1.60976493 0.9999    ],280.63505352951785,285.84539390149405
6,131.78016185386224,"[4.4672480964850285, 0.7955943340130895]",[0.00979278 0.74997192],267.5603237077245,272.7706640797007
7,138.62944463107357,"[0.14522647663967583, 0.40652419203139994]",[1.000e-04 9.999e-01],281.25888926214714,286.46922963412334
8,130.61922466468585,"[1.6830253829589312, 0.4964160067963607]",[0.0011687 0.0469664],265.2384493293717,270.4487897013479
9,138.62944311674582,"[0.8535763296692568, 0.5394629350068363]",[1.000e-04 9.999e-01],281.25888623349164,286.46922660546784
10,138.62944737439517,"[1.5142586632083337, 0.981018917154665]",[1.000e-04 9.999e-01],281.25889474879034,286.46923512076654
11,138.6294639971966,"[1.6774773990414893, 0.20841078149467265]",[1.000e-04 9.999e-01],281.2589279943932,286.4692683663694
12,138.62943666365535,"[0.42755290409292657, 0.8407120611890959]",[1.000e-04 9.999e-01],281.2588733273107,286.4692136992869
13,138.629439407251,"[2.4957932780851007, 0.915715388154112]",[1.000e-04 9.999e-01],281.258878814502,286.4692191864782
14,138.62943857954767,"[4.603585970483637, 0.9864380716542634]",[1.000e-04 9.999e-01],281.25887715909533,286.46921753107154
15,137.530956413061,"[4.925102650011644, 0.802161668290771]",[0.00027648 0.0001    ],279.061912826122,284.2722531980982
16,134.77425213722918,"[3.974913750034217, 0.5511844164753089]",[0.00507466 0.6869425 ],273.54850427445837,278.75884464643457
17,138.62944270902722,"[1.9394964194530158, 0.26865148696889]",[1.000e-04 9.999e-01],281.25888541805443,286.46922579003063
18,135.53549192860916,"[2.032380091273437, 0.29315662387714503]",[0.00041035 0.0003842 ],275.0709838572183,280.2813242291945
19,138.6294420171385,"[1.3945397590898547, 0.24882951223138616]",[1.000e-04 9.999e-01],281.258884034277,286.4692244062532
20,118.49709087231533,"[0.5106505713278073, 0.43731773875844554]",[0.00187086 0.0359443 ],240.99418174463065,246.20452211660682
21,136.38817314401393,"[1.1010299215686414, 0.7087771200732657]",[0.00154194 0.38627007],276.77634628802787,281.98668666000407
22,138.6294769038943,"[2.900915202016877, 0.5064474046877467]",[1.000e-04 9.999e-01],281.2589538077886,286.4692941797648
23,136.61470392485117,"[0.7778562212334419, 0.06798947223875378]",[2.50569942 0.9999    ],277.22940784970234,282.43974822167854
24,119.54475011247519,"[0.40536894273544793, 0.1501439394248973]",[0.000995 0.0001  ],243.08950022495037,248.29984059692654
25,128.7277349845049,"[2.7755597353210524, 0.5996212013134914]",[0.01751153 0.83626095],261.4554699690098,266.665810340986
26,136.2539124828028,"[2.1419788459646507, 0.9277010499498195]",[0.00203992 0.46447095],276.5078249656056,281.7181653375818
27,136.77436525697294,"[0.9267351495116363, 0.4284202962060814]",[0.00473284 0.79589461],277.5487305139459,282.7590708859221
28,115.76305585500967,"[0.7865199136247163, 0.8281671747097467]",[0.0014715  0.02672771],235.52611171001934,240.7364520819955
29,137.76174209028935,"[0.8004417607510393, 0.6117507597605941]",[0.00402212 0.81978636],279.5234841805787,284.7338245525549
30,138.62948926683913,"[0.23586826695926671, 0.7345669419682261]",[1.000e-04 9.999e-01],281.25897853367826,286.46931890565446
31,138.6294498507564,"[2.6865938255142163, 0.44688825986607256]",[1.000e-04 9.999e-01],281.2588997015128,286.469240073489
32,138.62949146450288,"[0.032662541282590586, 0.3417767615709003]",[1.000e-04 9.999e-01],281.25898292900575,286.46932330098196
33,136.7103857512233,"[0.7939347999035106, 0.5890900570636706]",[0.00046572 0.01005794],277.4207715024466,282.6311118744228
34,138.4987345479327,"[0.9158063052575368, 0.2875572068258149]",[0.00236431 0.88599875],280.9974690958654,286.2078094678416
35,138.62945341833952,"[3.006173796158283, 0.7124865111520856]",[1.000e-04 9.999e-01],281.25890683667905,286.46924720865525
36,128.3772850294661,"[0.3547892048229352, 0.2552249190599928]",[0.00698599 0.56664413],260.7545700589322,265.9649104309084
37,70.78444901573656,"[1.7812201422011686, 0.9104183903573263]",[0.09384982 0.83614596],145.5688980314731,150.77923840344928
38,131.2501120688854,"[0.5674780413643615, 0.37355919941851584]",[0.01062787 0.77213597],266.5002241377708,271.710564509747
39,135.9085736314549,"[0.47434597402238876, 0.39191724521373]",[0.00134999 0.22291852],275.8171472629098,281.02748763488603
40,138.6294543800346,"[4.990463900372665, 0.9622680152605593]",[1.000e-04 9.999e-01],281.2589087600692,286.4692491320454
41,119.01972127359215,"[0.9108059962008943, 0.16057872621292313]",[0.00123969 0.0001    ],242.0394425471843,247.24978291916048
42,82.258978260372,"[0.4223627497797576, 0.6728647525055904]",[0.00239196 0.01672241],168.517956520744,173.72829689272018
43,57.078880126913994,"[2.2101145433403073, 0.972670776488404]",[0.07174327 0.74279822],118.15776025382799,123.36810062580417
44,138.6294678407752,"[2.737055366689108, 0.3366931062925872]",[1.000e-04 9.999e-01],281.2589356815504,286.4692760535266
45,99.37477184556226,"[0.8977239973141156, 0.36622935933460576]",[0.09580749 0.89498478],202.74954369112453,207.9598840631007
46,137.56658617732882,"[2.0062522185052227, 0.7782544242319513]",[2.00551599 0.9999    ],279.13317235465763,284.34351272663383
47,136.88859281315874,"[1.107411521416222, 0.7596235850796478]",[2.41098019 0.9999    ],277.7771856263175,282.9875259982937
48,102.39576098808959,"[0.6452297667215919, 0.06107724038811227]",[0.05432004 0.82930938],208.79152197617918,214.00186234815536
49,86.31187097927955,"[4.381732705617611, 0.4285537834156178]",[0.05761825 0.79040689],176.6237419585591,181.83408233053527
50,129.7381406279403,"[1.0387622514578116, 0.10349395463971946]",[0.00333036 0.34959633],263.4762812558806,268.6866216278568
51,138.21317147405745,"[1.5908697665902851, 0.19960802614272574]",[0.00014256 0.0001    ],280.4263429481149,285.6366833200911
52,115.60940792827607,"[3.1528578201863593, 0.7349676929151332]",[0.00187128 0.04772909],235.21881585655214,240.4291562285283
53,22.39208154887168,"[0.2109114765514419, 0.1746981264259562]",[0.00700096 0.03439693],48.78416309774336,53.99450346971955
54,100.4875482797073,"[2.3444531122742704, 0.5664349982212338]",[0.00300535 0.06300109],204.9750965594146,210.18543693139077
55,137.06315830198798,"[0.7099096894922216, 0.14492607574872407]",[0.00034746 0.0011908 ],278.12631660397597,283.33665697595217
56,132.14807997389732,"[2.3301807717993674, 0.6828536625425651]",[0.0050656  0.61433642],268.29615994779465,273.50650031977085
57,62.25069010623534,"[2.644015887681399, 0.6248016168989483]",[0.21862312 0.91768082],128.50138021247068,133.71172058444685
58,124.77366915873415,"[0.22898248962447845, 0.19980135475890365]",[0.03327531 0.87005737],253.5473383174683,258.7576786894445
59,133.8481797809661,"[0.9778869227158519, 0.0963196643397302]",[0.00062292 0.0001    ],271.6963595619322,276.9066999339084
60,137.29984325132594,"[4.7588306703515455, 0.9380630354099655]",[2.11537672 0.9999    ],278.5996865026519,283.8100268746281
61,135.79186978517285,"[2.2637589022465163, 0.569875477961929]",[0.00843348 0.84358604],275.5837395703457,280.7940799423219
62,85.47458648684942,"[1.1540655253875896, 0.790450110651231]",[0.0027236  0.03430737],174.94917297369884,180.159513345675
63,137.08567004589352,"[0.586824595609794, 0.01827944749785934]",[0.00032919 0.0001    ],278.17134009178704,283.38168046376325
64,129.536044777093,"[0.45721285504270676, 0.6102672860172406]",[0.01501093 0.81026121],263.072089554186,268.2824299261622
65,138.62945877414845,"[0.6878871350654948, 0.13979636713961466]",[1.000e-04 9.999e-01],281.2589175482969,286.4692579202731
66,137.86887271732178,"[2.400289693139026, 0.8790230535568874]",[1.89680118 0.9999    ],279.73774543464356,284.94808580661976
67,138.6294622074457,"[3.1578498932912935, 0.4554330900381331]",[1.000e-04 9.999e-01],281.2589244148914,286.4692647868676
68,133.92591801510824,"[1.9057304926987313, 0.5750150447544341]",[0.00505544 0.65150042],271.8518360302165,277.0621764021927
69,136.71024350708035,"[0.3470105350560958, 0.06423922149540962]",[0.00033304 0.0001    ],277.4204870141607,282.6308273861369
70,137.53987604732836,"[0.4827665195099968, 0.04533264691682223]",[0.00029624 0.0001    ],279.0797520946567,284.2900924666329
71,81.04459936358369,"[1.5034903631463237, 0.6900101157798547]",[0.00202616 0.01041876],166.08919872716737,171.29953909914354
72,136.76182543202344,"[0.5984999577423906, 0.21187113989320047]",[0.00034026 0.0001    ],277.5236508640469,282.7339912360231
73,138.61992683263182,"[3.0645052357275335, 0.7325967929458701]",[3.62754896e-04 8.20088358e-01],281.23985366526364,286.45019403723984
74,138.56691794589008,"[1.8112502014898848, 0.9963976665362916]",[0.99479512 0.9999    ],281.13383589178017,286.34417626375637
75,138.33924269571278,"[1.5765024184148224, 0.8063084844893444]",[0.00121558 0.68260138],280.67848539142557,285.88882576340177
76,96.1407187648353,"[1.1260263928207914, 0.3621722800043267]",[0.00383319 0.07498001],196.2814375296706,201.49177790164677
77,137.67325591595124,"[1.5583619332370786, 0.8120811671643022]",[0.00026041 0.0001    ],279.3465118319025,284.5568522038787
78,138.62944998205674,"[2.209868845479997, 0.4205269080552495]",[1.000e-04 9.999e-01],281.2588999641135,286.4692403360897
79,138.62394815631652,"[1.7736510665239416, 0.4974170780309905]",[0.0001 0.0001],281.24789631263303,286.45823668460923
80,138.62944984940586,"[4.014078879184178, 0.8445442052942849]",[1.000e-04 9.999e-01],281.2588996988117,286.4692400707879
81,78.59044414977059,"[0.27304388196931934, 0.10942843229273268]",[0.00129938 0.0001    ],161.18088829954118,166.39122867151735
82,138.62948830499138,"[2.6687771968945824, 0.7689044728308202]",[1.000e-04 9.999e-01],281.25897660998277,286.46931698195897
83,137.33551206609957,"[1.3586975759021365, 0.1557153244810747]",[2.07623648 0.9999    ],278.67102413219914,283.88136450417534
