participant_id,best_nll,best_initial_guess,best_parameters,AIC,BIC,window_id,window_start,window_end
1,9.696663776582644,"[0.9309574599263405, 0.8678670194749882]",[0.00506905 0.0001    ],23.39332755316529,28.603667925141472,1,1,10
2,11.885136942905243,"[0.04631300266620686, 0.8282066460424858]",[0.00360585 0.1731745 ],27.770273885810486,32.98061425778667,1,1,10
3,10.631454347690664,"[0.04884636655981044, 0.9198360448536145]",[0.00455725 0.0001    ],25.262908695381327,30.47324906735751,1,1,10
4,13.835003427537579,"[0.11953972555116306, 0.3340862031519368]",[2.27845633 0.9999    ],31.670006855075158,36.880347227051345,1,1,10
5,8.547563177843436,"[0.27941985181996576, 0.10224896158259346]",[0.01953752 0.46698788],21.095126355686872,26.305466727663056,1,1,10
6,10.931523079917918,"[1.0498651519777777, 0.8010008043969447]",[0.00412555 0.08557884],25.863046159835836,31.07338653181202,1,1,10
7,10.350663520039156,"[0.016145666817563506, 0.7180195008154374]",[0.00924785 0.38823503],24.70132704007831,29.911667412054495,1,1,10
8,12.065121415608857,"[2.2667608020116776, 0.8770491294856466]",[0.00325138 0.11914155],28.130242831217714,33.3405832031939,1,1,10
9,5.429824248479912,"[0.285364724123991, 0.6965727312773023]",[0.01315104 0.0001    ],14.859648496959824,20.069988868936008,1,1,10
10,13.86294567159625,"[0.39563959636158963, 0.8665020650626862]",[1.000e-04 9.999e-01],31.7258913431925,36.93623171516869,1,1,10
11,10.1751610732223,"[0.45388523192390856, 0.2850352379436312]",[0.00579485 0.12776271],24.3503221464446,29.560662518420784,1,1,10
12,9.352623442500942,"[3.389392817903817, 0.8234119821511029]",[4.55262808 0.9999    ],22.705246885001884,27.915587256978068,1,1,10
13,9.699222233291422,"[1.1519523174755362, 0.7442845857147381]",[0.00650269 0.16044046],23.398444466582845,28.60878483855903,1,1,10
14,12.250816496180423,"[0.9700912038217987, 0.557090183634492]",[0.00227189 0.0001    ],28.501632992360847,33.71197336433703,1,1,10
15,10.289083343433958,"[1.515835907135905, 0.5424221712730433]",[0.00376853 0.0001    ],24.578166686867917,29.7885070588441,1,1,10
16,12.527880980230933,"[0.13573039453530197, 0.07941768969167322]",[0.00175729 0.0001    ],29.055761960461865,34.26610233243805,1,1,10
17,13.862950065352978,"[1.3195853009666627, 0.8200515719781554]",[1.000e-04 9.999e-01],31.725900130705956,36.93624050268214,1,1,10
18,11.090273239474481,"[0.5887691908135103, 0.8739443820934241]",[4.22718422 0.9999    ],26.180546478948962,31.390886850925146,1,1,10
19,13.835002568347976,"[0.013167153327561854, 0.8630988865043258]",[2.27848477 0.9999    ],31.670005136695952,36.880345508672136,1,1,10
20,9.46139459128461,"[0.18159421738213893, 0.6771097800746514]",[0.01228101 0.42899783],22.92278918256922,28.133129554545402,1,1,10
21,10.196815256250419,"[0.1100402048499841, 0.04254412843248614]",[0.00734081 0.18448177],24.393630512500838,29.60397088447702,1,1,10
22,13.862945671816028,"[2.8308923450102372, 0.9707036469735227]",[1.000e-04 9.999e-01],31.725891343632057,36.936231715608244,1,1,10
23,10.856630698440446,"[0.8554822548500316, 0.7632325148673749]",[0.0426326  0.80905973],25.713261396880892,30.923601768857075,1,1,10
24,10.291012687001064,"[0.13057841341116763, 0.557191202872196]",[0.00366489 0.0001    ],24.58202537400213,29.792365745978312,1,1,10
25,13.08605090496445,"[0.9489762221803144, 0.1932844743225067]",[0.00170608 0.0137873 ],30.1721018099289,35.382442181905084,1,1,10
