Subnum,Task,Condition,Gender,Ethnicity,Race,Age,React,Reward,keyResponse,Trial,Bank,BonusAmount,image_name,naturalness,disorderliness,aesthetic,Block,BestOption,HighFreqOption
1,SGT,Urban,Male,Prefer not to answer,White,21,3685.0,-100.0,4.0,1.0,1900.0,-0.1,,,,,1.0,1,0
1,SGT,Urban,Male,Prefer not to answer,White,21,1107.0,100.0,2.0,2.0,2000.0,-0.1,,,,,1.0,0,1
1,SGT,Urban,Male,Prefer not to answer,White,21,783.0,100.0,2.0,3.0,2100.0,-0.1,,,,,1.0,0,1
1,SGT,Urban,Male,Prefer not to answer,White,21,1470.0,200.0,1.0,4.0,2300.0,-0.1,,,,,1.0,0,1
1,SGT,Urban,Male,Prefer not to answer,White,21,671.0,200.0,1.0,5.0,2500.0,-0.1,,,,,1.0,0,1
1,SGT,Urban,Male,Prefer not to answer,White,21,1033.0,-200.0,3.0,6.0,2300.0,-0.1,,,,,1.0,1,0
1,SGT,Urban,Male,Prefer not to answer,White,21,1208.0,200.0,1.0,7.0,2500.0,-0.1,,,,,1.0,0,1
1,SGT,Urban,Male,Prefer not to answer,White,21,557.0,200.0,1.0,8.0,2700.0,-0.1,,,,,1.0,0,1
1,SGT,Urban,Male,Prefer not to answer,White,21,667.0,-1050.0,1.0,9.0,1650.0,-0.1,,,,,1.0,0,1
1,SGT,Urban,Male,Prefer not to answer,White,21,720.0,100.0,2.0,10.0,1750.0,-0.1,,,,,1.0,0,1
1,SGT,Urban,Male,Prefer not to answer,White,21,1003.0,100.0,2.0,11.0,1850.0,-0.1,,,,,2.0,0,1
1,SGT,Urban,Male,Prefer not to answer,White,21,663.0,-650.0,2.0,12.0,1200.0,-0.1,,,,,2.0,0,1
1,SGT,Urban,Male,Prefer not to answer,White,21,1015.0,-100.0,4.0,13.0,1100.0,-0.1,,,,,2.0,1,0
1,SGT,Urban,Male,Prefer not to answer,White,21,622.0,-200.0,3.0,14.0,900.0,-0.1,,,,,2.0,1,0
1,SGT,Urban,Male,Prefer not to answer,White,21,955.0,100.0,2.0,15.0,1000.0,-0.1,,,,,2.0,0,1
1,SGT,Urban,Male,Prefer not to answer,White,21,392.0,100.0,2.0,16.0,1100.0,-0.1,,,,,2.0,0,1
1,SGT,Urban,Male,Prefer not to answer,White,21,453.0,200.0,1.0,17.0,1300.0,-0.1,,,,,2.0,0,1
1,SGT,Urban,Male,Prefer not to answer,White,21,1150.0,200.0,1.0,18.0,1500.0,-0.1,,,,,2.0,0,1
1,SGT,Urban,Male,Prefer not to answer,White,21,506.0,100.0,2.0,19.0,1600.0,-0.1,,,,,2.0,0,1
