,Subnum,naturalness,disorderliness,aesthetic,Hue,SDHue,Bright,SDBright,Saturaton,SDSat,Contrast,Dissimilarity,Homogeneity,Energy,Correlation,MeanTexture,SDTexture,Entropy,EdgeCount,CornerMean,CornerSD,CornerCount,ContourMeanLength,ContourSDLength,ContourMeanArea,ContourSDArea,ContourCount,AsymmetryV,AsymmetryH,KPMeanSize,KPSDSize,KPMeanStrength,KPSDStrength,KPMeanAngle,KPSDAngle,KPCount,sky,grass,plant,water,sea,fence,path,river,bench,pole,building,tree,earth,rock,streetlight,ashcan,table,wall,chair,signboard,stairs,pot,sculpture,sidewalk,railing,road,person,mountain,lake,floor,car,traffic light,Naturalness_PCA,Semantic_PC1
0,1,2.4,4.06,3.16,81.90491520833334,39.549595381055504,138.96887720833334,67.87176632027095,60.555748666666666,38.48448286545619,651.2033383693263,12.784647247051401,0.2563603422147065,0.041995438394646756,0.9164572647644937,124.01067741234846,65.75423726186278,8.68335626834354,0.11376574999999997,119.74326754997374,53.588944116420414,1163.26,88.37038717229548,249.99904576348698,29.80662231629093,185.43621144933505,1186.24,50.23678133333334,79.16731033333333,3.9379938643406316,5.342411809577806,0.029330330137286264,0.014111560382346821,183.99569934175514,104.24305347646748,3321.78,0.199232177734375,0.0330859375,0.02091552734375,0.00055908203125,0.0,0.02678955078125,0.005560302734375,0.000885009765625,0.003917236328125,0.00091552734375,0.3128955078125,0.082509765625,0.011112060546875,0.0002294921875,0.002501220703125,0.002197265625,5.4931640625e-05,0.019371337890625,0.0013525390625,0.0036474609375,0.000242919921875,0.00215087890625,0.000223388671875,0.077484130859375,0.000523681640625,0.122257080078125,0.001678466796875,0.000731201171875,0.0,0.013968505859375,0.02457763671875,0.001324462890625,0.5327019216737198,-1.6603580451839575
1,2,6.0,5.66,5.94,57.44585191666667,27.396857320388616,134.97391912499998,67.56811529383906,94.50014325000001,54.338364422488176,1131.2703557165391,20.149552200187635,0.1745467804481423,0.03512360939142856,0.8507137104702095,121.18592883450289,63.63499501475917,9.269916823251167,0.226953625,120.36778228151228,53.93318046909694,2044.38,57.637710472107145,275.1140195951146,19.200856434999206,177.369787892185,3134.84,48.079741750000004,79.53004525,3.442162275311034,3.94935930428901,0.03055798877618801,0.013844540950298974,179.71082844465883,101.68900030861141,5866.94,0.171627197265625,0.042987060546875,0.103553466796875,0.05179443359375,0.029937744140625,0.00071044921875,0.009969482421875,0.007388916015625,0.000631103515625,0.000137939453125,0.000390625,0.37729736328125,0.0898291015625,0.051873779296875,0.0,0.0,3.662109375e-06,0.001387939453125,0.0001806640625,0.000155029296875,5.9814453125e-05,0.000118408203125,1.220703125e-06,0.0036669921875,0.0,0.003446044921875,1.220703125e-06,0.034959716796875,0.01130126953125,0.0,0.0,0.0,0.9119152869331998,1.6295573872834055
2,3,1.8,4.88,4.72,73.444828625,40.582025423082165,139.951535625,65.90165234062987,63.518881375,42.85290873077348,697.1708027671881,13.695898524552902,0.23766552171956182,0.041603023670643696,0.9074091595803968,125.2841888243212,64.38579817642733,8.802237917159836,0.12664208333333332,121.66139033068846,53.982596541314315,1275.82,82.6270078459488,265.26327408092277,28.95795924818716,232.63392408178697,1382.92,52.920093333333334,73.75552533333334,3.882959199480548,5.174669139445065,0.02894839021116913,0.013981001010188203,183.31894720570256,103.62826918337485,3593.2,0.174178466796875,0.026063232421875,0.03312744140625,0.00052001953125,0.0,0.028477783203125,0.005587158203125,0.000885009765625,0.00750244140625,0.001065673828125,0.32493896484375,0.09166748046875,0.01205078125,0.0002294921875,0.00199462890625,0.002081298828125,5.4931640625e-05,0.018333740234375,0.001688232421875,0.00248291015625,0.002401123046875,0.002264404296875,0.000330810546875,0.10380615234375,0.001302490234375,0.0958349609375,0.00081787109375,0.0,0.0,0.012333984375,0.02013916015625,0.001578369140625,0.5381553304016402,-1.6130462804172776
3,4,3.34,2.72,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,4.26,3.38,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,5.14,5.0,6.3,55.571545916666665,27.456949677934958,135.33573420833332,67.14893958954235,98.07876820833333,55.91770646654267,1143.8606308173116,20.539018966012886,0.17072873191074348,0.03803887879014398,0.8468304349961049,121.29168512954875,63.69863743186361,9.27094541848173,0.23393329166666665,119.28113249955544,52.86550232727719,2061.26,56.24052349577906,293.2048497984904,19.429685857820477,190.89134980048667,3240.34,47.77677083333333,80.3004155,3.430264524597701,3.910122722969142,0.03018490492782368,0.013458214556501457,179.61694863929907,101.8258684244863,5921.66,0.170712890625,0.03316162109375,0.11308837890625,0.059027099609375,0.016162109375,0.000443115234375,0.01343017578125,0.0099267578125,0.001552734375,0.000142822265625,0.000855712890625,0.388350830078125,0.090025634765625,0.035009765625,2.3193359375e-05,0.0,0.00029052734375,0.000411376953125,0.0001806640625,3.662109375e-06,6.103515625e-05,0.000118408203125,1.220703125e-06,8.544921875e-06,0.0,0.003446044921875,0.0,0.02619140625,0.01890625,0.0,0.0,0.0,0.912258714447027,1.6325368378544607
6,7,5.2,5.74,6.06,55.616330375,27.95571422618125,134.38670233333332,67.46058007939007,93.91324474999999,54.71534273671774,1157.781617035284,20.514697909045523,0.1687281363566249,0.03339369668958061,0.8454601327635727,121.12624224923788,64.13653280851754,9.289340577702482,0.23020554166666662,119.77809392137817,52.720677760928666,2060.66,56.13246869727004,276.7238185812249,18.898216236428024,174.76023661890267,3203.12,47.96664333333333,79.98744400000001,3.42704047040877,4.036624134068591,0.030851193661010926,0.01393911784325264,180.3165101577675,101.46435872373888,5913.16,0.165693359375,0.054837646484375,0.106439208984375,0.067027587890625,0.0201513671875,0.000458984375,0.01138916015625,0.00802490234375,0.001683349609375,3.41796875e-05,0.001507568359375,0.3767236328125,0.083902587890625,0.03947021484375,2.44140625e-05,2.44140625e-06,0.000286865234375,0.000283203125,0.0,0.0001513671875,1.220703125e-06,0.0,0.0,0.003658447265625,0.0,2.44140625e-06,1.220703125e-06,0.02568603515625,0.0207373046875,0.0,0.0,0.0,0.9137520562743587,1.645492521313364
7,8,5.96,4.74,5.02,57.07814295833333,27.4638813766552,134.634730375,67.42635055422947,96.57772766666668,54.66617247959882,1079.3913009908629,19.760451458534607,0.17157504328881543,0.027755023745684594,0.8506500263653336,121.09999582538508,63.52716449619905,9.288322185976158,0.22439354166666664,118.19859545965845,52.33417513479977,2044.42,57.6400397943473,265.0726820924057,18.477313845169594,164.56888826767047,3110.98,47.37482991666667,79.99874025,3.43828424170513,3.93286808981103,0.029674286126293383,0.013286911796458056,180.05870166867425,101.32371425654875,5702.8,0.16458984375,0.050338134765625,0.13597900390625,0.06081787109375,0.028876953125,0.0008984375,0.011593017578125,0.007904052734375,0.001683349609375,4.2724609375e-05,0.00055419921875,0.36001708984375,0.06809814453125,0.051947021484375,2.3193359375e-05,0.0,0.000286865234375,0.00125244140625,0.0,0.0001513671875,1.220703125e-06,0.0,0.0,0.003658447265625,0.0,0.003446044921875,1.220703125e-06,0.0206005859375,0.01221435546875,0.0,0.0,0.0,0.9136426193618152,1.644543086983137
8,9,5.76,4.28,5.04,54.891912958333336,27.5566919964612,132.83952658333334,66.59083960587998,94.06991433333333,54.515179152040325,1165.6504671314444,20.733893952943617,0.16236339989641344,0.03276904826257223,0.8362893329461868,119.8620376627681,63.34520340788007,9.340831326048745,0.2307694583333333,121.32530954423113,53.357921688448506,2073.04,57.075387545565874,270.58949526351984,19.1645051271007,171.71595507309536,3186.92,49.16937583333333,78.79013016666667,3.441042522783464,3.8902348910622737,0.030839319403859783,0.014008256757776975,180.31826980220401,101.8512911091496,6168.46,0.14300048828125,0.037984619140625,0.116851806640625,0.0653759765625,0.0178466796875,0.000177001953125,0.007650146484375,0.00386474609375,0.001861572265625,0.000128173828125,0.001077880859375,0.400565185546875,0.08974609375,0.0483642578125,1.8310546875e-05,7.32421875e-06,0.003829345703125,0.000235595703125,0.000172119140625,3.7841796875e-05,0.0,0.0,0.0,0.0036669921875,1.220703125e-06,0.002696533203125,1.220703125e-06,0.0221044921875,0.0207421875,0.0,0.0,0.0,0.9166271476647995,1.6704357548639353
9,10,2.66,4.3,4.2,80.88523241666667,40.613604007209254,136.233861875,66.35064589555779,65.255304,41.91446847504328,679.5412525426513,13.350200273146221,0.2456924412087791,0.036102113590623,0.9079681513760183,121.022865438296,64.37213017036291,8.758626959199276,0.12312699999999997,119.67934735257087,53.110720637145995,1218.14,86.02939921176325,263.6320607793244,28.087434422418088,199.3556089714899,1295.84,51.10961558333334,75.01438658333333,4.09640658172107,5.175525086149983,0.029182916326721157,0.014354787188948514,184.46052112825865,104.09126202681031,3665.46,0.18017822265625,0.025904541015625,0.033231201171875,0.000565185546875,0.0,0.022073974609375,0.002689208984375,0.000885009765625,0.003868408203125,0.000894775390625,0.30538818359375,0.10264892578125,0.011751708984375,7.2021484375e-05,0.002271728515625,0.002203369140625,4.39453125e-05,0.018609619140625,0.00157958984375,0.002529296875,0.0022900390625,0.000550537109375,0.0003369140625,0.082135009765625,0.00099853515625,0.123525390625,0.001893310546875,0.000731201171875,0.0,0.01082763671875,0.029998779296875,0.000858154296875,0.5411887631962469,-1.5867293351864566
