,Subnum,Condition,Task,Block,BestOption,HighFreqOption,Unnamed: 0,naturalness,disorderliness,aesthetic,Hue,Bright,Saturaton,SDhue,SDsat,Sdbright,Entropy,Perc_Nat,pc1f,pc2f,pc3f,pc4f,SED,total_ED,NSED
0,1,Nature,IGT,1.0,,,,,,,,,,,,,,,,,,,,,
1,1,Nature,IGT,2.0,,,,,,,,,,,,,,,,,,,,,
2,1,Nature,IGT,3.0,,,,,,,,,,,,,,,,,,,,,
3,1,Nature,IGT,4.0,,,,,,,,,,,,,,,,,,,,,
4,1,Nature,IGT,5.0,,,,,,,,,,,,,,,,,,,,,
5,1,Nature,IGT,6.0,,,,,,,,,,,,,,,,,,,,,
6,1,Nature,IGT,7.0,,,,,,,,,,,,,,,,,,,,,
7,1,Nature,IGT,8.0,,,,,,,,,,,,,,,,,,,,,
8,1,Nature,IGT,9.0,,,,,,,,,,,,,,,,,,,,,
9,1,Nature,IGT,10.0,,,,,,,,,,,,,,,,,,,,,
10,1,Nature,IGT,11.0,,,,,,,,,,,,,,,,,,,,,
11,1,Nature,IGT,12.0,,,,,,,,,,,,,,,,,,,,,
12,1,Nature,IGT,13.0,,,,,,,,,,,,,,,,,,,,,
13,1,Nature,IGT,14.0,,,,,,,,,,,,,,,,,,,,,
14,1,Nature,IGT,15.0,,,,,,,,,,,,,,,,,,,,,
15,1,Nature,IGT,16.0,,,,,,,,,,,,,,,,,,,,,
16,1,Nature,IGT,17.0,,,,,,,,,,,,,,,,,,,,,
17,1,Nature,IGT,18.0,,,,,,,,,,,,,,,,,,,,,
18,1,Nature,IGT,19.0,,,,,,,,,,,,,,,,,,,,,
19,1,Nature,IGT,20.0,,,,,,,,,,,,,,,,,,,,,
40,1,Urban,IGT,1.0,,,0.0,2.4,4.06,3.16,0.2234415295,0.18251020182,0.14495535764,0.22246084534,0.15195987416,0.26751317462,7.356696362279999,1.58539477968,-0.05932716222,-0.01467088678,0.0119183413,0.0200760953999999,0.0704290249,0.10029182604,0.09556028404
41,1,Urban,IGT,2.0,,,0.0,2.4,4.06,3.16,0.2234415295,0.18251020182,0.14495535764,0.22246084534,0.15195987416,0.26751317462,7.356696362279999,1.58539477968,-0.05932716222,-0.01467088678,0.0119183413,0.0200760953999999,0.0704290249,0.10029182604,0.09556028404
42,1,Urban,IGT,3.0,,,0.0,2.4,4.06,3.16,0.2234415295,0.18251020182,0.14495535764,0.22246084534,0.15195987416,0.26751317462,7.356696362279999,1.58539477968,-0.05932716222,-0.01467088678,0.0119183413,0.0200760953999999,0.0704290249,0.10029182604,0.09556028404
43,1,Urban,IGT,4.0,,,0.0,2.4,4.06,3.16,0.2234415295,0.18251020182,0.14495535764,0.22246084534,0.15195987416,0.26751317462,7.356696362279999,1.58539477968,-0.05932716222,-0.01467088678,0.0119183413,0.0200760953999999,0.0704290249,0.10029182604,0.09556028404
44,1,Urban,IGT,5.0,,,0.0,2.4,4.06,3.16,0.2234415295,0.18251020182,0.14495535764,0.22246084534,0.15195987416,0.26751317462,7.356696362279999,1.58539477968,-0.05932716222,-0.01467088678,0.0119183413,0.0200760953999999,0.0704290249,0.10029182604,0.09556028404
45,1,Urban,IGT,6.0,,,0.0,2.4,4.06,3.16,0.2234415295,0.18251020182,0.14495535764,0.22246084534,0.15195987416,0.26751317462,7.356696362279999,1.58539477968,-0.05932716222,-0.01467088678,0.0119183413,0.0200760953999999,0.0704290249,0.10029182604,0.09556028404
