Subnum,Task,Condition,Gender,Ethnicity,Race,Age,image_name,naturalness,disorderliness,aesthetic,Order,BestOption,HighFreqOption,Hue,Bright,Saturaton,SDhue,SDsat,Sdbright,Entropy,Perc_Nat,pc1f,pc2f,pc3f,pc4f,SED,total_ED,NSED
1,ImageRating,Urban,Male,Prefer not to answer,White,21,MDS158,2.0,6.0,4.0,SGT_IGT,0,0,0.328813553,1.088349567,0.18105451,0.252583776,0.139626174,0.263957515,7.530328512,1.839698763,-0.052394194,-0.057666339,0.035663359,0.002733926,0.035756621,0.112718498,0.125395218
1,ImageRating,Urban,Male,Prefer not to answer,White,21,Urban20,1.0,6.0,2.0,SGT_IGT,0,0,0.175679196,-0.238163446,0.056414786,0.213671687,0.105270626,0.242493419,7.073115707,1.39328329,-0.035052523,-0.022857286,-0.020007482,0.033042645,0.066945461,0.098035106,0.073601814
1,ImageRating,Urban,Male,Prefer not to answer,White,21,MDS16,1.0,7.0,4.0,SGT_IGT,0,0,0.151689861,2.07128284,0.358936791,0.170167438,0.261241087,0.225372993,7.750548801,1.420888552,-0.049112954,-0.088840387,0.077456406,-0.031714499,0.080689225,0.10385188,0.095036406
1,ImageRating,Urban,Male,Prefer not to answer,White,21,Urban29,3.0,5.0,2.0,SGT_IGT,0,0,0.210280755,-0.895508025,0.081646162,0.302036885,0.093478326,0.209031034,7.224559522,1.854879211,-0.048075432,-0.018019212,0.041639088,-0.052300326,0.099081481,0.106896296,0.093392592
1,ImageRating,Urban,Male,Prefer not to answer,White,21,MDS171,4.0,5.0,5.0,SGT_IGT,0,0,0.185095186,-0.107402564,0.204046172,0.166872768,0.192760243,0.319314363,7.860997947,2.043119468,-0.044895954,-0.015136435,-0.080809904,-0.036277279,0.034903208,0.128126144,0.125736634
1,ImageRating,Urban,Male,Prefer not to answer,White,21,Urban38,1.0,3.0,1.0,SGT_IGT,0,0,0.203642989,0.971654568,0.071304369,0.168681797,0.169160701,0.252453389,7.659626086,1.123076923,-0.067079217,-0.052614664,0.016797224,0.063377316,0.134088889,0.096707407,0.026503704
1,ImageRating,Urban,Male,Prefer not to answer,White,21,Urban28,1.0,3.0,2.0,SGT_IGT,0,0,0.215853211,-0.964653498,0.079788013,0.120568478,0.130034259,0.334272198,7.265546152,1.2,-0.057387155,-0.076418092,0.070805418,0.00922326,0.068167036,0.077317073,0.091924571
1,ImageRating,Urban,Male,Prefer not to answer,White,21,MDS100,4.0,4.0,3.0,SGT_IGT,0,0,0.212140022,-0.452839679,0.31915922,0.132711778,0.272404969,0.291171194,7.44062756,2.12965793,-0.057523911,-0.057121969,0.02492929,-0.029133884,0.030216217,0.112252553,0.159124772
1,ImageRating,Urban,Male,Prefer not to answer,White,21,Urban7,2.0,4.0,5.0,SGT_IGT,0,0,0.170667533,-0.73164511,0.104447407,0.230310499,0.100560783,0.246008954,7.006296768,1.169342022,-0.041591781,-0.003020456,-0.063577591,0.116818154,0.014235,0.083092008,0.1463486
1,ImageRating,Urban,Male,Prefer not to answer,White,21,MDS111,5.0,5.0,4.0,SGT_IGT,0,0,0.273492094,-0.000996418,0.311941102,0.173811953,0.211308221,0.213261865,7.706700689,2.180595629,-0.049211509,0.003537121,-0.081179493,0.092535756,0.070776622,0.117997487,0.12512819
